Pairs,Pairs Occurrences ,SKU,Amount,Title,Inventory
102.83 K units - $ 12.12 M,2,small-dog-apparel,2997252,small-dog-apparel,10
106.1 K units - $ 11.7 M,3,small-dog-apparel,2997252,small-dog-apparel,10
110.15 K units - $ 12.28 M,2,small-dog-apparel,2997252,small-dog-apparel,10
126.13 K units - $ 12.06 M,1,small-dog-apparel,2997252,small-dog-apparel,10
126.71 K units - $ 12.88 M,3,small-dog-apparel,2997252,small-dog-apparel,10
133.63 K units - $ 12.3 M,3,small-dog-apparel,2997252,small-dog-apparel,10
138.04 K units - $ 12.27 M,1,small-dog-apparel,2997252,small-dog-apparel,10
149.95 K units - $ 12.8 M,1,small-dog-apparel,2997252,small-dog-apparel,10
164.12 K units - $ 12.42 M,3,small-dog-apparel,2997252,small-dog-apparel,10
167.92 K units - $ 12.65 M,3,small-dog-apparel,2997252,small-dog-apparel,10
169.96 K units - $ 12.56 M,1,small-dog-apparel,2997252,small-dog-apparel,10
176.76 K units - $ 12.43 M,3,small-dog-apparel,2997252,small-dog-apparel,10
189.34 K units - $ 12.45 M,2,small-dog-apparel,2997252,small-dog-apparel,10
191.2 K units - $ 12.64 M,3,small-dog-apparel,2997252,small-dog-apparel,10
197.89 K units - $ 12.68 M,3,small-dog-apparel,2997252,small-dog-apparel,10
2.37 K units - $ 0.21 M,5,small-dog-apparel,2997252,small-dog-apparel,10
206.77 K units - $ 12.42 M,3,small-dog-apparel,2997252,small-dog-apparel,10
210.32 K units - $ 12.66 M,1,small-dog-apparel,2997252,small-dog-apparel,10
220.48 K units - $ 12.68 M,3,small-dog-apparel,2997252,small-dog-apparel,10
230.01 K units - $ 12.58 M,3,small-dog-apparel,2997252,small-dog-apparel,10
230.48 K units - $ 12.62 M,1,small-dog-apparel,2997252,small-dog-apparel,10
230.71 K units - $ 12.68 M,2,small-dog-apparel,2997252,small-dog-apparel,10
246.46 K units - $ 12.68 M,3,small-dog-apparel,2997252,small-dog-apparel,10
248.06 K units - $ 12.63 M,2,small-dog-apparel,2997252,small-dog-apparel,10
252.66 K units - $ 12.63 M,2,small-dog-apparel,2997252,small-dog-apparel,10
255.81 K units - $ 12.68 M,3,small-dog-apparel,2997252,small-dog-apparel,10
258.44 K units - $ 12.59 M,2,small-dog-apparel,2997252,small-dog-apparel,10
262.25 K units - $ 12.65 M,3,small-dog-apparel,2997252,small-dog-apparel,10
262.67 K units - $ 12.68 M,2,small-dog-apparel,2997252,small-dog-apparel,10
263.77 K units - $ 12.68 M,2,small-dog-apparel,2997252,small-dog-apparel,10
276.49 K units - $ 12.68 M,3,small-dog-apparel,2997252,small-dog-apparel,10
284.13 K units - $ 12.65 M,1,small-dog-apparel,2997252,small-dog-apparel,10
284.56 K units - $ 12.68 M,1,small-dog-apparel,2997252,small-dog-apparel,10
291.63 K units - $ 12.68 M,2,small-dog-apparel,2997252,small-dog-apparel,10
293.17 K units - $ 12.68 M,2,small-dog-apparel,2997252,small-dog-apparel,10
297.66 K units - $ 12.68 M,2,small-dog-apparel,2997252,small-dog-apparel,10
299.79 K units - $ 12.68 M,2,small-dog-apparel,2997252,small-dog-apparel,10
30.62 K units - $ 6.84 M,3,small-dog-apparel,2997252,small-dog-apparel,10
31.44 K units - $ 6.87 M,1,small-dog-apparel,2997252,small-dog-apparel,10
312.59 K units - $ 12.68 M,1,small-dog-apparel,2997252,small-dog-apparel,10
313.73 K units - $ 12.64 M,2,small-dog-apparel,2997252,small-dog-apparel,10
318.18 K units - $ 12.68 M,3,small-dog-apparel,2997252,small-dog-apparel,10
320.58 K units - $ 12.68 M,1,small-dog-apparel,2997252,small-dog-apparel,10
328.67 K units - $ 12.68 M,1,small-dog-apparel,2997252,small-dog-apparel,10
334.41 K units - $ 12.68 M,3,small-dog-apparel,2997252,small-dog-apparel,10
337.18 K units - $ 12.68 M,2,small-dog-apparel,2997252,small-dog-apparel,10
347.51 K units - $ 12.68 M,1,small-dog-apparel,2997252,small-dog-apparel,10
351.36 K units - $ 12.68 M,1,small-dog-apparel,2997252,small-dog-apparel,10
352.61 K units - $ 12.68 M,3,small-dog-apparel,2997252,small-dog-apparel,10
355.54 K units - $ 12.68 M,3,small-dog-apparel,2997252,small-dog-apparel,10
363.26 K units - $ 12.68 M,3,small-dog-apparel,2997252,small-dog-apparel,10
372.52 K units - $ 12.68 M,2,small-dog-apparel,2997252,small-dog-apparel,10
383.3 K units - $ 12.68 M,2,small-dog-apparel,2997252,small-dog-apparel,10
386.48 K units - $ 12.68 M,2,small-dog-apparel,2997252,small-dog-apparel,10
387.92 K units - $ 12.68 M,3,small-dog-apparel,2997252,small-dog-apparel,10
399.16 K units - $ 12.68 M,2,small-dog-apparel,2997252,small-dog-apparel,10
412.57 K units - $ 12.68 M,2,small-dog-apparel,2997252,small-dog-apparel,10
428.71 K units - $ 12.68 M,1,small-dog-apparel,2997252,small-dog-apparel,10
430.34 K units - $ 12.68 M,1,small-dog-apparel,2997252,small-dog-apparel,10
56.62 K units - $ 11.48 M,2,small-dog-apparel,2997252,small-dog-apparel,10
57.37 K units - $ 8.99 M,3,small-dog-apparel,2997252,small-dog-apparel,10
59.06 K units - $ 9.04 M,3,small-dog-apparel,2997252,small-dog-apparel,10
79.74 K units - $ 11.54 M,1,small-dog-apparel,2997252,small-dog-apparel,10
79.97 K units - $ 12.1 M,3,small-dog-apparel,2997252,small-dog-apparel,10
86.04 K units - $ 12.49 M,3,small-dog-apparel,2997252,small-dog-apparel,10
